rownames,year,age,race,sex,educ,relactiv,pid,abortion
46511,2006,50.0,Black,Female,13.0,4.0,0.0,1.0
46514,2006,50.0,Black,Female,12.0,1.0,0.0,1.0
46515,2006,20.0,Black,Male,14.0,1.0,0.0,1.0
46517,2006,29.0,Black,Female,12.0,1.0,3.0,1.0
46519,2006,23.0,Black,Female,16.0,1.0,0.0,1.0
46520,2006,32.0,Other,Female,18.0,1.0,1.0,1.0
46521,2006,81.0,Black,Female,9.0,1.0,1.0,1.0
46522,2006,47.0,Black,Male,12.0,1.0,3.0,0.0
46523,2006,26.0,Black,Male,16.0,9.0,6.0,1.0
46527,2006,68.0,Black,Male,6.0,1.0,3.0,0.0
46529,2006,25.0,Black,Female,13.0,1.0,2.0,1.0
46537,2006,52.0,Other,Female,5.0,4.0,3.0,1.0
46539,2006,62.0,Black,Female,12.0,7.0,1.0,0.0
46541,2006,56.0,Other,Female,14.0,1.0,2.0,1.0
46544,2006,30.0,White,Female,17.0,1.0,1.0,1.0
46548,2006,37.0,White,Male,12.0,1.0,3.0,1.0
46563,2006,31.0,White,Female,13.0,1.0,0.0,1.0
46564,2006,30.0,White,Female,18.0,1.0,1.0,1.0
46566,2006,70.0,White,Female,20.0,1.0,0.0,1.0
46567,2006,36.0,Other,Male,18.0,1.0,3.0,1.0
46568,2006,68.0,White,Female,17.0,4.0,0.0,1.0
46577,2006,39.0,Other,Male,12.0,1.0,1.0,1.0
46580,2006,48.0,Other,Male,12.0,1.0,1.0,1.0
46582,2006,88.0,White,Female,12.0,1.0,2.0,1.0
46591,2006,42.0,Other,Male,16.0,5.0,0.0,1.0
46594,2006,43.0,White,Female,16.0,4.0,5.0,1.0
46596,2006,32.0,Other,Female,15.0,1.0,3.0,1.0
46598,2006,32.0,White,Female,12.0,2.0,3.0,1.0
46599,2006,48.0,White,Male,17.0,2.0,6.0,1.0
46600,2006,33.0,White,Female,10.0,2.0,3.0,1.0
46601,2006,75.0,White,Female,10.0,1.0,1.0,1.0
46604,2006,85.0,White,Male,13.0,1.0,2.0,1.0
46605,2006,58.0,White,Female,16.0,2.0,0.0,1.0
46606,2006,40.0,White,Female,17.0,1.0,6.0,0.0
46607,2006,37.0,White,Male,19.0,1.0,1.0,1.0
46608,2006,26.0,White,Female,13.0,1.0,3.0,1.0
46611,2006,23.0,White,Female,6.0,4.0,3.0,0.0
46614,2006,29.0,Black,Female,10.0,6.0,3.0,1.0
46617,2006,75.0,White,Female,17.0,3.0,3.0,1.0
46621,2006,39.0,White,Female,18.0,1.0,3.0,1.0
46622,2006,29.0,Other,Male,14.0,4.0,2.0,1.0
46624,2006,35.0,White,Male,17.0,2.0,3.0,1.0
46628,2006,37.0,White,Female,11.0,5.0,1.0,1.0
46632,2006,37.0,White,Female,12.0,4.0,4.0,1.0
46633,2006,30.0,White,Female,16.0,1.0,1.0,1.0
46635,2006,77.0,Black,Male,12.0,4.0,5.0,1.0
46641,2006,40.0,Black,Male,13.0,1.0,2.0,1.0
46642,2006,51.0,White,Male,14.0,2.0,5.0,1.0
46643,2006,54.0,White,Male,16.0,5.0,6.0,1.0
46647,2006,57.0,White,Male,12.0,1.0,1.0,1.0
46651,2006,28.0,White,Male,16.0,3.0,5.0,1.0
46653,2006,35.0,Other,Male,18.0,6.0,2.0,1.0
46655,2006,83.0,White,Female,14.0,5.0,2.0,1.0
46656,2006,32.0,White,Female,14.0,3.0,5.0,1.0
46658,2006,53.0,White,Male,12.0,5.0,6.0,0.0
46659,2006,31.0,White,Female,16.0,1.0,1.0,1.0
46662,2006,27.0,White,Male,14.0,1.0,1.0,1.0
46664,2006,43.0,White,Female,12.0,4.0,6.0,0.0
46665,2006,50.0,White,Female,12.0,1.0,3.0,1.0
46666,2006,38.0,White,Female,14.0,3.0,1.0,0.0
46674,2006,50.0,White,Male,12.0,1.0,2.0,1.0
46676,2006,31.0,Black,Female,16.0,8.0,1.0,1.0
46677,2006,60.0,White,Female,18.0,5.0,6.0,1.0
46679,2006,68.0,White,Male,16.0,5.0,0.0,1.0
46683,2006,58.0,White,Female,14.0,1.0,5.0,1.0
46686,2006,49.0,White,Female,16.0,6.0,3.0,1.0
46687,2006,22.0,White,Female,14.0,1.0,0.0,1.0
46688,2006,86.0,White,Male,10.0,4.0,2.0,1.0
46690,2006,58.0,White,Male,14.0,1.0,5.0,1.0
46693,2006,34.0,White,Male,16.0,1.0,3.0,1.0
46694,2006,41.0,White,Female,13.0,1.0,1.0,1.0
46696,2006,50.0,White,Male,20.0,6.0,0.0,1.0
46699,2006,24.0,White,Male,16.0,5.0,1.0,1.0
46703,2006,52.0,White,Female,12.0,1.0,3.0,1.0
46704,2006,34.0,White,Male,9.0,1.0,0.0,1.0
46705,2006,64.0,White,Male,12.0,1.0,4.0,0.0
46706,2006,73.0,White,Female,13.0,1.0,5.0,1.0
46708,2006,58.0,White,Female,18.0,3.0,4.0,0.0
46710,2006,49.0,White,Female,18.0,1.0,5.0,1.0
46713,2006,58.0,White,Male,16.0,1.0,0.0,1.0
46716,2006,41.0,Other,Female,6.0,1.0,5.0,0.0
46719,2006,49.0,Other,Female,15.0,1.0,0.0,1.0
46720,2006,51.0,Black,Male,13.0,1.0,3.0,1.0
46722,2006,74.0,White,Female,15.0,6.0,5.0,0.0
46724,2006,39.0,White,Female,16.0,4.0,5.0,1.0
46734,2006,36.0,Other,Male,14.0,2.0,2.0,1.0
46738,2006,41.0,White,Male,17.0,1.0,3.0,1.0
46740,2006,66.0,White,Female,16.0,4.0,0.0,0.0
46747,2006,76.0,White,Male,15.0,3.0,6.0,1.0
46749,2006,67.0,Other,Male,16.0,1.0,1.0,1.0
46750,2006,25.0,Other,Female,4.0,1.0,3.0,1.0
46752,2006,31.0,Other,Female,12.0,1.0,3.0,0.0
46755,2006,52.0,White,Male,12.0,1.0,1.0,1.0
46758,2006,78.0,White,Female,13.0,1.0,3.0,0.0
46759,2006,73.0,White,Male,16.0,1.0,3.0,1.0
46762,2006,51.0,Black,Female,17.0,5.0,3.0,1.0
46764,2006,45.0,White,Male,11.0,4.0,5.0,1.0
46765,2006,58.0,White,Male,16.0,5.0,0.0,1.0
46770,2006,55.0,White,Female,13.0,8.0,6.0,1.0
46771,2006,50.0,White,Male,16.0,1.0,5.0,1.0
46775,2006,55.0,White,Male,18.0,5.0,0.0,1.0
46779,2006,37.0,White,Male,16.0,1.0,1.0,1.0
46780,2006,37.0,White,Male,14.0,1.0,1.0,1.0
46782,2006,58.0,White,Female,12.0,5.0,5.0,1.0
46785,2006,36.0,Other,Male,10.0,1.0,5.0,1.0
46788,2006,44.0,Other,Male,5.0,1.0,4.0,1.0
46790,2006,33.0,Other,Male,15.0,1.0,2.0,1.0
46793,2006,18.0,Other,Male,11.0,1.0,4.0,1.0
46794,2006,42.0,Other,Male,12.0,3.0,4.0,1.0
46802,2006,27.0,White,Female,16.0,1.0,6.0,1.0
46806,2006,46.0,White,Female,14.0,4.0,3.0,1.0
46807,2006,25.0,Other,Female,15.0,1.0,3.0,1.0
46809,2006,40.0,Other,Male,12.0,1.0,4.0,1.0
46810,2006,30.0,Other,Female,14.0,1.0,1.0,1.0
46811,2006,28.0,Other,Male,16.0,3.0,1.0,1.0
46813,2006,29.0,Other,Female,14.0,1.0,1.0,1.0
46816,2006,22.0,Other,Male,12.0,2.0,0.0,1.0
46817,2006,31.0,Other,Female,18.0,1.0,5.0,1.0
46819,2006,39.0,Other,Female,12.0,1.0,3.0,1.0
46820,2006,40.0,Black,Male,14.0,5.0,0.0,1.0
46822,2006,66.0,White,Male,15.0,1.0,3.0,1.0
46824,2006,33.0,White,Female,17.0,5.0,3.0,1.0
46828,2006,58.0,White,Female,18.0,5.0,1.0,1.0
46829,2006,31.0,Other,Male,16.0,2.0,2.0,1.0
46833,2006,45.0,Other,Male,16.0,3.0,6.0,1.0
46838,2006,44.0,White,Male,20.0,4.0,3.0,1.0
46839,2006,46.0,White,Female,14.0,1.0,6.0,1.0
46841,2006,68.0,White,Female,9.0,1.0,5.0,1.0
46842,2006,18.0,Other,Male,12.0,2.0,2.0,1.0
46843,2006,56.0,White,Female,12.0,1.0,2.0,1.0
46845,2006,28.0,White,Male,14.0,4.0,3.0,1.0
46846,2006,77.0,White,Female,16.0,1.0,4.0,1.0
46848,2006,26.0,Other,Male,11.0,1.0,4.0,1.0
46851,2006,30.0,Other,Male,14.0,1.0,3.0,1.0
46857,2006,37.0,Black,Female,14.0,2.0,1.0,1.0
46859,2006,22.0,White,Male,14.0,1.0,4.0,1.0
46860,2006,46.0,White,Female,16.0,6.0,1.0,1.0
46861,2006,55.0,Black,Male,15.0,4.0,1.0,1.0
46869,2006,30.0,White,Male,6.0,2.0,1.0,1.0
46877,2006,34.0,Other,Male,6.0,1.0,1.0,1.0
46881,2006,71.0,Black,Female,9.0,8.0,0.0,0.0
46883,2006,36.0,Black,Male,12.0,1.0,1.0,1.0
46886,2006,59.0,Black,Female,12.0,8.0,2.0,0.0
46887,2006,83.0,Black,Female,8.0,7.0,0.0,1.0
46890,2006,32.0,Black,Male,15.0,3.0,0.0,1.0
46891,2006,27.0,Other,Female,16.0,1.0,3.0,1.0
46892,2006,56.0,White,Male,16.0,2.0,0.0,1.0
46896,2006,24.0,Other,Female,12.0,8.0,3.0,0.0
46897,2006,69.0,Other,Male,10.0,1.0,1.0,1.0
46898,2006,53.0,Other,Female,6.0,5.0,3.0,1.0
46900,2006,36.0,Other,Male,12.0,1.0,3.0,1.0
46901,2006,32.0,Other,Male,12.0,6.0,5.0,1.0
46902,2006,27.0,Other,Female,6.0,1.0,4.0,1.0
46903,2006,65.0,White,Female,13.0,1.0,2.0,1.0
46904,2006,29.0,Other,Female,12.0,1.0,1.0,1.0
46905,2006,62.0,White,Female,12.0,1.0,0.0,1.0
46913,2006,48.0,Black,Female,14.0,1.0,3.0,1.0
46915,2006,23.0,White,Male,11.0,3.0,3.0,1.0
46916,2006,43.0,White,Male,16.0,1.0,4.0,1.0
46917,2006,32.0,White,Female,16.0,1.0,1.0,1.0
46918,2006,44.0,Black,Male,14.0,1.0,6.0,1.0
46920,2006,43.0,Black,Female,14.0,1.0,1.0,1.0
46922,2006,36.0,Black,Female,13.0,3.0,5.0,1.0
46924,2006,58.0,White,Female,18.0,6.0,3.0,1.0
46931,2006,50.0,White,Female,12.0,2.0,2.0,1.0
46933,2006,38.0,White,Female,16.0,1.0,3.0,1.0
46935,2006,50.0,White,Female,15.0,4.0,3.0,1.0
46937,2006,30.0,White,Female,16.0,8.0,6.0,1.0
46940,2006,51.0,White,Female,13.0,8.0,4.0,0.0
46941,2006,89.0,White,Female,12.0,1.0,5.0,1.0
46944,2006,62.0,White,Female,14.0,7.0,4.0,1.0
46946,2006,20.0,White,Male,12.0,1.0,3.0,1.0
46948,2006,32.0,White,Female,14.0,1.0,0.0,1.0
46955,2006,78.0,White,Female,15.0,1.0,1.0,1.0
46969,2006,29.0,White,Female,12.0,1.0,3.0,1.0
46970,2006,26.0,White,Female,16.0,1.0,2.0,1.0
